# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	NA18488	chr22	16551808	16714378	162571	272	38.4
RG	NA18488	chr22	17586831	17637763	50933	293	41.9
RG	NA18488	chr22	18012337	18060349	48013	281	60.8
RG	NA18488	chr22	19978467	20034998	56532	416	50.5
RG	NA18488	chr22	22165319	22191028	25710	198	25.3
RG	NA18488	chr22	22349342	22370497	21156	275	29.1
RG	NA18488	chr22	22580334	22586894	6561	49	19.6
RG	NA18488	chr22	22688121	22906870	218750	462	80.0
RG	NA18488	chr22	23542643	23579651	37009	223	46.0
RG	NA18488	chr22	24008369	24217984	209616	845	42.0
RG	NA18488	chr22	25035541	25201339	165799	990	70.4
RG	NA18488	chr22	25979590	26011626	32037	282	40.4
RG	NA18488	chr22	26870524	26887717	17194	135	29.7
RG	NA18488	chr22	31076196	31136974	60779	249	59.1
RG	NA18488	chr22	32200196	32209685	9490	81	17.2
RG	NA18488	chr22	35045548	35132465	86918	509	72.0
RG	NA18488	chr22	35161516	35170476	8961	49	46.0
RG	NA18488	chr22	35281578	35327211	45634	222	78.6
RG	NA18488	chr22	36133184	36201765	68582	578	77.9
RG	NA18488	chr22	36213135	36239384	26250	194	63.2
RG	NA18488	chr22	37285945	37358894	72950	588	48.4
RG	NA18488	chr22	39363335	39378815	15481	120	36.5
RG	NA18488	chr22	39482936	39539894	56959	341	73.8
RG	NA18488	chr22	40149349	40683143	533795	1679	63.7
RG	NA18488	chr22	41012461	41236796	224336	812	62.0
RG	NA18488	chr22	41983809	42168177	184369	667	64.1
RG	NA18488	chr22	43933717	43999094	65378	435	66.5
RG	NA18488	chr22	46251376	46326861	75486	436	62.4
RG	NA18488	chr22	46467481	46473116	5636	62	14.0
RG	NA18488	chr22	46764205	46871746	107542	728	47.7
RG	NA18488	chr22	47288851	47330865	42015	351	72.0
RG	NA18488	chr22	47448326	47459672	11347	111	25.6
RG	NA18488	chr22	47806063	47818502	12440	109	19.7
RG	NA18488	chr22	48369199	48390769	21571	243	21.7
RG	NA18488	chr22	48632368	48670184	37817	504	71.0
RG	NA18488	chr22	49412018	49427382	15365	148	33.8
RG	NA19222	chr22	16748669	16837260	88592	446	73.8
RG	NA19222	chr22	16912130	17009221	97092	624	63.0
RG	NA19222	chr22	17166630	17182879	16250	110	28.0
RG	NA19222	chr22	17431417	17463647	32231	269	48.5
RG	NA19222	chr22	18094895	18109644	14750	76	16.7
RG	NA19222	chr22	21736360	21885949	149590	581	27.4
RG	NA19222	chr22	22349342	22371071	21730	281	43.2
RG	NA19222	chr22	22838056	22879423	41368	316	23.2
RG	NA19222	chr22	23083341	23109588	26248	189	45.4
RG	NA19222	chr22	23890311	23904385	14075	152	36.0
RG	NA19222	chr22	24281269	24502342	221074	879	64.8
RG	NA19222	chr22	24761488	24809633	48146	239	35.4
RG	NA19222	chr22	25433180	25559212	126033	617	43.1
RG	NA19222	chr22	25612568	25715051	102484	402	18.5
RG	NA19222	chr22	25788279	25871567	83289	610	70.3
RG	NA19222	chr22	26649439	26722082	72644	459	55.1
RG	NA19222	chr22	27480015	27603729	123715	965	78.4
RG	NA19222	chr22	28248713	28696247	447535	1392	74.1
RG	NA19222	chr22	29144932	29152625	7694	62	17.4
RG	NA19222	chr22	29466205	29721252	255048	1033	67.2
RG	NA19222	chr22	32443670	32456735	13066	80	12.6
RG	NA19222	chr22	33000297	33049691	49395	247	35.2
RG	NA19222	chr22	33125080	33155269	30190	200	46.2
RG	NA19222	chr22	33370369	33410554	40186	302	41.1
RG	NA19222	chr22	34111839	34158739	46901	274	59.9
RG	NA19222	chr22	35038484	35077782	39299	283	66.8
RG	NA19222	chr22	35111766	35325098	213333	1253	78.1
RG	NA19222	chr22	35592023	35624356	32334	218	44.5
RG	NA19222	chr22	36208428	36242286	33859	230	30.3
RG	NA19222	chr22	36282407	36318044	35638	203	43.7
RG	NA19222	chr22	36355034	36528392	173359	984	81.6
RG	NA19222	chr22	36755529	36794285	38757	226	39.8
RG	NA19222	chr22	36851187	36908050	56864	386	35.8
RG	NA19222	chr22	37187403	37218788	31386	232	46.0
RG	NA19222	chr22	37285397	37359403	74007	600	79.5
RG	NA19222	chr22	37582708	37622607	39900	200	36.8
RG	NA19222	chr22	38643704	38679429	35726	120	52.1
RG	NA19222	chr22	38872773	38909803	37031	245	13.3
RG	NA19222	chr22	39235542	39341335	105794	693	85.3
RG	NA19222	chr22	39895803	39983363	87561	333	52.4
RG	NA19222	chr22	41359555	41560595	201041	713	38.5
RG	NA19222	chr22	41966454	42079153	112700	499	33.7
RG	NA19222	chr22	43177700	43214449	36750	336	50.5
RG	NA19222	chr22	43813245	43897091	83847	592	58.7
RG	NA19222	chr22	44262642	44282369	19728	197	45.8
RG	NA19222	chr22	44537239	44546187	8949	111	7.4
RG	NA19222	chr22	44780728	44785810	5083	82	38.6
RG	NA19222	chr22	46370463	46384419	13957	114	23.1
RG	NA19222	chr22	47598194	47625903	27710	278	46.7
RG	NA19222	chr22	47631640	47670747	39108	299	50.4
RG	NA19222	chr22	48152499	48181730	29232	284	40.1
RG	NA19222	chr22	48827470	48854104	26635	272	54.5
RG	NA19222	chr22	49141346	49150467	9122	138	46.3
RG	NA19222	chr22	50283450	50566447	282998	1557	91.9
RG	NA19222	chr22	50706303	50746650	40348	225	25.0
RG	NA18867	chr22	17385077	17415587	30511	178	48.3
RG	NA18867	chr22	19151873	19646610	494738	2547	84.9
RG	NA18867	chr22	20506644	20591032	84389	470	71.3
RG	NA18867	chr22	22573382	22596678	23297	140	18.0
RG	NA18867	chr22	22739200	22772500	33301	309	80.4
RG	NA18867	chr22	23011453	23078727	67275	358	57.4
RG	NA18867	chr22	23506893	23529014	22122	259	76.5
RG	NA18867	chr22	23792071	23839050	46980	296	54.2
RG	NA18867	chr22	24208332	24521425	313094	1160	25.5
RG	NA18867	chr22	25107699	25206714	99016	560	59.2
RG	NA18867	chr22	25935687	25953468	17782	149	43.2
RG	NA18867	chr22	26297374	26322300	24927	184	49.0
RG	NA18867	chr22	26973508	26998282	24775	227	23.1
RG	NA18867	chr22	27042391	27064831	22441	192	44.4
RG	NA18867	chr22	27124256	27163450	39195	332	58.0
RG	NA18867	chr22	27408795	27432524	23730	185	36.5
RG	NA18867	chr22	27582039	27599536	17498	108	17.3
RG	NA18867	chr22	27617635	27656115	38481	299	34.5
RG	NA18867	chr22	29002315	29048272	45958	230	36.2
RG	NA18867	chr22	29712492	30213096	500605	2438	84.8
RG	NA18867	chr22	31868869	31939430	70562	281	18.5
RG	NA18867	chr22	32206563	32262114	55552	354	61.6
RG	NA18867	chr22	32932911	32984776	51866	287	14.8
RG	NA18867	chr22	33131175	33164690	33516	210	52.3
RG	NA18867	chr22	33447970	33629614	181645	1204	83.9
RG	NA18867	chr22	34410562	34451504	40943	364	43.8
RG	NA18867	chr22	35588605	35642520	53916	331	23.8
RG	NA18867	chr22	35663283	36049428	386146	1216	67.7
RG	NA18867	chr22	36058415	36132847	74433	301	25.3
RG	NA18867	chr22	36612266	36626439	14174	96	23.6
RG	NA18867	chr22	36652170	36682504	30335	207	38.0
RG	NA18867	chr22	37539865	37563940	24076	109	13.5
RG	NA18867	chr22	37788648	38051984	263337	1074	45.2
RG	NA18867	chr22	38108666	38258647	149982	838	80.2
RG	NA18867	chr22	40256797	40277995	21199	68	19.9
RG	NA18867	chr22	42439933	42474996	35064	157	33.5
RG	NA18867	chr22	43824067	43900096	76030	550	63.1
RG	NA18867	chr22	44186212	44219135	32924	247	42.0
RG	NA18867	chr22	44562068	44739282	177215	1396	79.4
RG	NA18867	chr22	45117620	45198982	81363	526	24.1
RG	NA18867	chr22	45957537	45995086	37550	271	48.6
RG	NA18867	chr22	46840854	46882628	41775	309	60.7
RG	NA18867	chr22	46903339	46909843	6505	87	29.2
RG	NA18867	chr22	47921024	47949012	27989	239	29.5
RG	NA18867	chr22	48326690	48345890	19201	184	20.3
RG	NA18867	chr22	48395311	48438275	42965	484	86.1
RG	NA18867	chr22	50259089	50281431	22343	136	23.1
RG	NA18868	chr22	17624639	17743516	118878	594	69.9
RG	NA18868	chr22	18947966	19139059	191094	1025	80.4
RG	NA18868	chr22	19865313	19919576	54264	503	31.0
RG	NA18868	chr22	20412085	20441470	29386	175	24.9
RG	NA18868	chr22	22854242	22870140	15899	137	49.9
RG	NA18868	chr22	23205043	23242725	37683	310	28.0
RG	NA18868	chr22	23396304	23415777	19474	145	48.5
RG	NA18868	chr22	23508808	23521806	12999	175	47.7
RG	NA18868	chr22	23679263	23749955	70693	437	64.8
RG	NA18868	chr22	25291540	25328422	36883	195	24.8
RG	NA18868	chr22	26023307	26067058	43752	305	51.2
RG	NA18868	chr22	26545294	26572914	27621	160	29.3
RG	NA18868	chr22	26765088	26835277	70190	526	34.6
RG	NA18868	chr22	26880332	26930197	49866	364	45.8
RG	NA18868	chr22	27379836	27397680	17845	164	25.5
RG	NA18868	chr22	27459680	27472851	13172	90	25.9
RG	NA18868	chr22	27965741	28713697	747957	2573	70.0
RG	NA18868	chr22	32342851	32377903	35053	253	60.6
RG	NA18868	chr22	32603782	32647940	44159	282	59.2
RG	NA18868	chr22	34248996	34356907	107912	656	56.4
RG	NA18868	chr22	34979743	35307135	327393	1951	80.1
RG	NA18868	chr22	35492242	35516737	24496	148	32.6
RG	NA18868	chr22	37076232	37124706	48475	430	71.8
RG	NA18868	chr22	37582443	37703989	121547	645	35.4
RG	NA18868	chr22	39206513	39234622	28110	167	58.9
RG	NA18868	chr22	40848394	41006104	157711	472	55.3
RG	NA18868	chr22	43151925	43173534	21610	201	55.5
RG	NA18868	chr22	44559233	44579333	20101	135	18.2
RG	NA18868	chr22	44871399	44904874	33476	251	21.0
RG	NA18868	chr22	45139249	45192365	53117	326	66.7
RG	NA18868	chr22	45261778	45291059	29282	236	37.9
RG	NA18868	chr22	46091648	46115662	24015	241	24.4
RG	NA18868	chr22	46345695	46366317	20623	200	41.8
RG	NA18868	chr22	46875022	46902839	27818	295	56.1
RG	NA18868	chr22	47982372	48027797	45426	381	32.3
RG	NA18868	chr22	48207612	48253372	45761	400	37.5
RG	NA18868	chr22	48702962	48719868	16907	260	59.2
RG	NA18868	chr22	48810028	48813999	3972	46	6.9
RG	NA18868	chr22	49024574	49053475	28902	382	73.5
RG	NA18868	chr22	49104223	49137135	32913	362	66.8
RG	NA18868	chr22	49163162	49181328	18167	258	33.4
RG	NA18868	chr22	49201294	49261491	60198	734	72.2
RG	NA18868	chr22	50569059	50626390	57332	366	57.9
RG	NA18873	chr22	15423395	16551788	1128394	422	82.8
RG	NA18873	chr22	17311134	17326384	15251	104	14.5
RG	NA18873	chr22	21910504	21987798	77295	402	80.1
RG	NA18873	chr22	22129497	22197982	68486	666	85.4
RG	NA18873	chr22	22227937	22244075	16139	153	57.1
RG	NA18873	chr22	22976878	23019916	43039	233	43.9
RG	NA18873	chr22	23246545	23299431	52887	504	65.3
RG	NA18873	chr22	23631995	23743617	111623	622	61.3
RG	NA18873	chr22	23910481	23956633	46153	142	23.9
RG	NA18873	chr22	25019665	25249854	230190	1336	86.9
RG	NA18873	chr22	25858074	25882645	24572	180	27.3
RG	NA18873	chr22	26023307	26060215	36909	269	48.2
RG	NA18873	chr22	26223021	26238684	15664	110	32.0
RG	NA18873	chr22	26307617	26341578	33962	259	46.9
RG	NA18873	chr22	26834662	26865476	30815	254	56.6
RG	NA18873	chr22	27323608	27334687	11080	98	20.1
RG	NA18873	chr22	27456314	27501242	44929	370	15.6
RG	NA18873	chr22	30889693	30974756	85064	245	56.4
RG	NA18873	chr22	32290479	32308240	17762	119	41.6
RG	NA18873	chr22	32557077	32582084	25008	152	52.8
RG	NA18873	chr22	32787841	32843579	55739	352	16.0
RG	NA18873	chr22	33045387	33106954	61568	311	55.3
RG	NA18873	chr22	33332718	33409922	77205	591	48.4
RG	NA18873	chr22	34544837	34590408	45572	308	13.4
RG	NA18873	chr22	34840032	34917191	77160	471	31.8
